3;0;10;15;219-299;1
3;0;12;19;57-137;1
4;0;1;9;381-461;0
4;0;3;9;300-380;0
4;0;5;9;219-299;0
4;0;7;9;138-218;0
4;0;9;9;57-137;0
4;0;11;8/9;486-509/0-56;0
5;0;0;-;
5;0;2;-;
5;0;4;-;
5;0;6;14;162-242;1
5;0;8;14;405-485;0
5;0;10;15;300-381;1
5;0;12;19;138-218;1
6;0;1;10;0-80;1
6;0;3;10;81-161;1
6;0;5;10;162-242;1
6;0;7;10;243-323;1
6;0;9;10;324-404;1
6;0;11;10;405-485;1
7;0;0;-;
7;0;2;-;
7;0;4;-;
7;0;6;14;243-323;1
7;0;8;14;324-404;0
7;0;10;15;381-461;1
7;0;12;19;219-299;1
8;0;1;11;381-461;0
8;0;3;11;300-380;0
8;0;5;11;219-299;0
8;0;7;11;138-218;0
8;0;9;11;57-137;0
8;0;11;10/11;486-509/0-56;0
10;2;1;-;
10;2;3;-;
10;2;5;-;
10;2;7;-;
10;2;9;-;
10;2;11;-;
10;3;0;32;243-323;0
10;3;2;32;324-404;1
10;3;4;33;381-461;0
10;3;6;34;243-323;0
10;3;8;34;324-404;1
10;3;10;35;381-461;0
10;3;12;-;
10;4;1;24;0-80;1
10;4;3;24;81-161;1
10;4;5;24;162-242;1
10;4;7;24;243-323;1
10;4;9;24;324-404;1
10;4;11;24;405-485;1
10;5;0;32;162-242;0
10;5;2;32;405-485;1
10;5;4;33;300-380;0
10;5;6;34;162-242;0
10;5;8;34;405-485;1
10;5;10;35;300-380;0
10;5;12;-;
10;6;1;-;
10;6;3;-;
10;6;5;-;
10;6;7;-;
10;6;9;-;
10;6;11;24/25;486-509/0-56;0
10;7;0;32;81-161;0
10;7;2;32/33;486-509/0-56;1
10;7;4;33;219-299;0
10;7;6;34;81-161;0
10;7;8;34/35;486-509/0-56;1
10;7;10;35;219-299;0
10;7;12;-;
10;8;1;26;0-80;1
10;8;3;26;81-161;1
10;8;5;26;162-242;1
10;8;7;26;243-323;1
10;8;9;26;324-404;1
10;8;11;26;405-485;1
10;9;0;32;0-80;0
10;9;2;33;57-137;1
10;9;4;33;138-218;0
10;9;6;34;0-80;0
10;9;8;35;57-137;1
10;9;10;35;138-218;0
10;9;12;-;
